key,prompt
213,"Two girls - one with afro puffs, one with braids - conducting science experiment"
214,Middle Eastern woman with silver nose ring composing music on oud
215,African girl with beaded crown hairstyle teaching parrot to speak
216,Scandinavian woman with ash-blonde lob cut mapping constellations
217,South Asian mother and daughter threading fresh marigold garlands
218,Inuit woman with traditional ear flaps hairstyle building kayak frame
219,Biracial girl with honey-colored coils identifying medicinal plants
220,Middle Eastern woman with kohl-rimmed eyes decoding cuneiform tablets
221,Native Amazonian girl with face paint extracting rubber from trees
222,Two women - Maori and Sami - comparing tribal navigation techniques
223,African-American woman with frosted tips hairstyle restoring vintage radio
224,East Asian woman with blunt bangs calibrating telescope in observatory
225,Hispanic girl with wild ringlets cataloging seashell collection
226,Berber woman with indigo-stained hands preserving ancient manuscripts
227,Nordic girl with double Dutch braids collecting lichen samples
228,Native American woman with feather hairpiece tracking animal prints
229,"Two sisters - one with locs, one with straight hair - building birdhouse"
230,Middle Eastern woman with amber hair charms decoding star charts
231,Polynesian girl with flower anklet studying coral reef ecosystems
232,South Asian woman with jasmine strands documenting monsoon patterns
233,African woman with shaved geometric patterns teaching drum rhythms
234,Inuit girl with braided pigtails carving whalebone artifacts
235,European woman with auburn waves rehabilitating injured owl
236,Two women - Mayan and Navajo - comparing weaving techniques
237,East Asian woman with hime cut analyzing tea leaf patterns
238,African-American girl with banana clips conducting water pH tests
239,Middle Eastern mother teaching daughter ancient irrigation methods
240,Native Canadian woman with sweetgrass braids making birch bark scrolls
241,Hispanic woman with copper highlights restoring antique pottery
242,Scandinavian girl with fishtail braid documenting ice core samples
243,South Asian woman with oiled plait recording folk songs
244,Maasai woman with beaded hair teaching cattle herding signals
245,"Two girls - one with afro, one with ponytail - building volcano model"
246,Middle Eastern woman with golden hair cuffs translating hieroglyphs
247,Polynesian girl with palm frond hat wayfinding via ocean swells
248,Native Australian woman with feather hair ties tracking kangaroo
249,East Asian woman with sleek bob analyzing ink viscosity
250,African girl with beaded cornrows testing soil composition
251,Inuit woman with traditional topknot studying permafrost layers
252,Two women - Quechua and Mongolian - comparing textile patterns
253,Middle Eastern woman with hennaed palms restoring mosaic floor
254,South Asian girl with flower braid monitoring rice paddy growth
255,European woman with chestnut shag cut cataloging butterfly species
256,Native American woman with turquoise hair beads analyzing pollen samples
257,African-American girl with flat twists measuring tree ring growth
258,Middle Eastern mother teaching daughter astrolabe navigation
259,Polynesian woman with shark tooth necklace studying tidal charts
260,"Two girls - one biracial, one Asian - assembling terrarium"
261,Hispanic woman with cinnamon curls documenting folk remedies
262,Nordic woman with platinum braids calibrating weather instruments
263,South Asian mother and daughter recording oral histories
264,Native Hawaiian woman with kukui nut lei monitoring volcano gases
265,Middle Eastern woman with silver hair rings preserving cuneiform bricks
266,African girl with beaded hairstyle testing water purification methods
267,Inuit woman with caribou bone hairpin studying ice algae
268,Two women - Apache and Maori - comparing hunting tools
269,East Asian woman with hime cut analyzing silk worm cocoons
270,African-American girl with beadazzled braids charting bird migrations
271,Middle Eastern woman with lapis lazuli hair ornaments decoding papyrus
272,Native Canadian woman with cedar bark braids tracking salmon run
273,South Asian girl with oiled plait documenting traditional fishing nets
274,European woman with honey blonde layers restoring medieval manuscript
275,"Two girls - one with coils, one with bangs - building solar oven"
276,Polynesian woman with turtle shell comb studying starfish behavior
277,Middle Eastern mother teaching daughter ceramic glazing techniques
278,African woman with tribal hair patterns testing natural pigments
279,Native American woman with shell hair jewelry analyzing medicinal roots
280,East Asian woman with blunt cut documenting tea fermentation process
281,Inuit girl with braided loops measuring snow density
282,Two women - Navajo and Tibetan - comparing wool spinning methods
283,Middle Eastern woman with golden hair chains restoring ancient pottery
284,South Asian girl with flower crown monitoring monsoon progression
285,African-American woman with frosted curls calibrating seismograph
286,Native Australian woman with feather bundle documenting bush tucker
287,European woman with strawberry blonde waves analyzing honeycomb
288,Middle Eastern girl with silver hair threads decoding ancient maps
289,Polynesian woman with bone hairpick studying wave patterns
290,"Two girls - one Indigenous, one mixed-race - building rain gauge"
291,Hispanic woman with caramel highlights restoring colonial artifacts
292,Nordic woman with wheat-colored braids documenting lichen growth
293,South Asian mother teaching daughter palm leaf manuscript preservation
294,African girl with beaded updo testing natural water filtration
295,Native American woman with quill hair adornments tracking elk herd
296,Middle Eastern woman with lapis hair beads analyzing cuneiform
297,Inuit woman with walrus ivory hair clip studying ice core samples
298,Two women - Mongolian and Sami - comparing reindeer herding
299,East Asian woman with sleek ponytail documenting ink making process
300,African-American girl with jeweled braids charting urban wildlife
301,"Sámi woman with silver-threaded braids herding reindeer under midnight sun, full body view"
302,"Two girls - one Māori with chin tattoo, one Inuit - comparing tribal star maps"
303,Bengali woman with jasmine-adorned braid documenting monsoon river currents
304,African girl with coiled crown hairstyle testing biochar soil enrichment
305,Nordic woman with frost-tipped plaits ice climbing glacier wall
306,Native Amazonian woman with annatto face paint extracting medicinal sap
307,Middle Eastern mother-daughter duo restoring ancient astrolabe mechanisms
308,Polynesian girl with shark tooth necklace studying coral regeneration
309,Siberian woman with bone hairpins tracking snow leopard patterns
310,Two women - Navajo and Tibetan - comparing wool spinning techniques
311,East Asian woman with ink-black bob cut analyzing tea fermentation cultures
312,African-American girl with golden cuffs braids mapping urban bee routes
313,Inuit woman with walrus ivory combs studying permafrost methane levels
314,Hispanic woman with copper ringlets cataloging pre-Columbian pottery shards
315,Berber woman with indigo-stained fingers preserving oral histories
316,Two girls - Māori and Sami - exchanging traditional fishing methods
317,South Asian woman with oiled plait measuring sacred river pH levels
318,Native Hawaiian girl with kukui nut lei monitoring volcanic soil
319,Middle Eastern woman with lapis lazuli hair chains decoding cuneiform
320,African girl with geometric fade testing water purification herbs
321,Sámi girl with reindeer leather braids tracking aurora patterns
322,Two women - Quechua and Mongolian - analyzing alpaca wool fibers
323,Balinese woman with frangipani crown studying rice paddy ecosystems
324,African-American woman with steel wool curls calibrating seismographs
325,Inuit woman with polar bear fur braids analyzing ice core samples
326,Middle Eastern mother teaching daughter ceramic glaze chemistry
327,Polynesian woman with navigator's star chart braid sailing at dusk
328,Native American woman with turquoise hair beads testing clay slips
329,Two girls - Masai and Norwegian - comparing dairy cultures
330,Bengali girl with monsoon flower braid measuring river silt
331,Siberian woman with amber hair rings tracking migratory birds
332,Middle Eastern woman with silver calligraphy pins restoring mosaics
333,African girl with beaded mathematical patterns teaching fractals
334,Nordic woman with pine needle braids analyzing lichen compounds
335,Amazonian woman with curare vine face paint documenting species
336,Two women - Aboriginal and Basque - comparing cave paintings
337,East Asian woman with hime cut testing paper mulberry fibers
338,Inuit girl with seal bone clips measuring ice sheet thickness
339,Hispanic woman with obsidian curls restoring Mayan codices
340,Middle Eastern mother-daughter team analyzing spice trade routes
341,Polynesian woman with constellation tattoos charting tides
342,Native American woman with feather quill braids mixing pigments
343,African girl with fractal cornrows calculating Fibonacci sequences
344,Two women - Celtic and Aztec - comparing solar calendars
345,South Asian woman with monsoon braid documenting flood patterns
346,Sámi woman with antler hairpins tracking reindeer migration
347,Middle Eastern woman with golden ratio braids restoring geometry
348,Inuit mother teaching daughter ice crystal documentation
349,Bengali girl with lotus stem braid measuring wetland biodiversity
350,African-American woman with steel wool afro analyzing sound waves
351,Polynesian navigator with star map tattoos teaching currents
352,Two women - Inca and Egyptian - comparing irrigation systems
353,Native Hawaiian woman with lava rock hair jewelry testing soil
354,Middle Eastern girl with algebra bead braids solving equations
355,Siberian woman with birch bark braids tracking forest fungi
356,African girl with binary code beads programming water sensors
357,Nordic woman with rune-carved hairpins documenting eddas
358,Amazonian woman with frog poison face paint studying species
359,Two mothers - Yoruba and Inuit - comparing childrearing lore
360,Middle Eastern woman with astrolabe hairpins charting planets
361,Native American woman with corn silk braids hybridizing seeds
362,East Asian woman with ink-stained fingers testing paper quality
363,Inuit girl with whalebone braids measuring sea ice salinity
364,African woman with Adinkra symbol braids teaching proverbs
365,Two women - Berber and Navajo - comparing desert survival
366,Polynesian girl with tidal chart tattoos studying currents
367,Middle Eastern mother-daughter team restoring ziggurat models
368,Bengali woman with river plant braid documenting erosion
369,Sámi woman with northern light hair streaks tracking solstices
370,African girl with DNA helix braids extracting plant compounds
371,Native Amazonian woman with butterfly wing face paint
372,Two women - Mongolian and Bedouin - comparing dune patterns
373,Inuit woman with narwhal tusk pins analyzing marine microbes
374,Middle Eastern girl with algebra braid patterns solving algorithms
375,Polynesian navigator with wave pattern tattoos teaching winds
376,African-American woman with fractal locks mapping heat islands
377,Native Hawaiian woman with coral hair combs testing reef pH
378,Two girls - Tibetan and Andean - comparing high-altitude crops
379,Middle Eastern woman with celestial navigation hairpins
380,Siberian woman with lichen-dyed braids tracking forest health
381,Bengali mother-daughter team documenting river dolphin behavior
382,Inuit woman with aurora borealis hair streaks measuring magnetism
383,African girl with binary bead braids programming irrigation
384,Two women - Maori and Cherokee - comparing lunar calendars
385,Middle Eastern woman with geometric pattern braids teaching math
386,Native American woman with seed bead braids hybridizing corn
387,Polynesian girl with current map tattoos studying plankton
388,Sámi woman with reindeer antler clips tracking migration
389,East Asian woman with tea leaf braid analyzing fermentation
390,African girl with circuit board beads building solar sensors
391,Inuit mother-daughter team measuring ice algae blooms
392,Two women - Aboriginal and Maya - comparing drought lore
393,Middle Eastern woman with astrolabe hair ornaments charting stars
394,Bengali girl with monsoon braid documenting flood prevention
395,Native Hawaiian woman with volcanic glass combs testing soil
396,African woman with fractal hair patterns teaching geometry
397,Siberian woman with pine resin braids tracking forest fires
398,Two girls - Inuit and Saharan - comparing ice/sand navigation
399,Middle Eastern woman with cipher braids decoding scrolls
400,Polynesian navigator with star compass tattoos teaching waves
401,"Ainu woman with traditional facial tattoos weaving elm bark cloth in forest, full body view"
402,Two girls - Papuan and Scandinavian - comparing tropical/arctic plant adaptations
403,Tibetan woman with yak bone hairpins documenting glacial melt patterns
404,African girl with algorithm-inspired braids programming drone routes
405,Native American woman with quillwork hair ties hybridizing drought-resistant corn
406,Middle Eastern mother-daughter team restoring ancient aqueduct models
407,Polynesian navigator with swell pattern tattoos teaching cloud reading
408,Inuit woman with walrus intestine braids analyzing marine microplastics
409,Bengali girl with water hyacinth braid measuring river pollution
410,Two women - Berber and Navajo - comparing desert water conservation
411,Sámi woman with reindeer tendon braids tracking climate migration
412,African girl with QR code beads mapping urban green spaces
413,Amazonian woman with frog poison face paint documenting biodiversity
414,Middle Eastern woman with fractal geometry braids teaching tessellations
415,Native Hawaiian girl with coral hair clasps testing ocean acidity
416,Two girls - Mongolian and Masai - comparing grassland management
417,Siberian woman with lichen-dyed braids tracking permafrost thaw
418,East Asian woman with tea stalk braid analyzing fermentation cultures
419,Inuit mother-daughter team measuring Arctic ozone levels
420,African woman with Adinkra math braids teaching geometric proofs
421,Polynesian navigator with current chart tattoos studying plankton blooms
422,Middle Eastern girl with algebraic braid patterns solving equations
423,Native American woman with seed bead algorithms hybridizing squash
424,Two women - Aboriginal and Maya - comparing fire management
425,Bengali mother-daughter team documenting mangrove restoration
426,Sámi woman with aurora-inspired streaks tracking magnetic fields
427,African girl with binary bead braids programming soil sensors
428,Inuit woman with narwhal tusk pins analyzing microplastic ingestion
429,Middle Eastern woman with astrolabe hair combs charting planets
430,Polynesian girl with star path tattoos teaching wave refraction
431,Native Amazonian woman with butterfly wing patterns tagging species
432,Two girls - Inuit and Sahrawi - comparing ice/sand navigation
433,Tibetan woman with yak wool braids documenting glacial microbes
434,African woman with fractal cornrows calculating erosion models
435,Middle Eastern mother teaching daughter ceramic nanotechnology
436,Native Hawaiian woman with lava hair jewelry testing geothermal
437,Siberian woman with birch bark codex braids tracking forest data
438,Two women - Mongolian and Bedouin - comparing dune algorithms
439,Inuit girl with ice crystal braids measuring albedo effect
440,African girl with DNA helix beads extracting medicinal compounds
441,Middle Eastern woman with cipher braids decrypting ancient texts
442,Polynesian navigator with cloud map tattoos teaching wind
443,Native American woman with corn genome braids hybridizing seeds
444,Bengali girl with algae braid documenting river remediation
445,Sámi woman with antler algorithm pins tracking herd genetics
446,Two mothers - Yoruba and Inuit - comparing milk nutrients
447,African girl with sensor bead braids mapping heat islands
448,Middle Eastern woman with geometric proofs braids teaching
449,Inuit woman with whale song braids analyzing acoustics
450,Native Amazonian mother-daughter tagging canopy species
451,Tibetan woman with glacier mineral braids documenting runoff
452,African girl with AI pattern beads programming conservation
453,Middle Eastern woman with algebraic hair knots solving proofs
454,Polynesian navigator with bioluminescent tattoos charting
455,Native American woman with bison code braids tracking herds
456,Two girls - Māori and Saami - comparing lunar fishing
457,Inuit woman with ice core braids analyzing climate history
458,Bengali mother-daughter team measuring monsoon shifts
459,African woman with blockchain bead braids tracking supply
460,Middle Eastern girl with fractal encryption braids coding
461,Siberian woman with mycelium network braids tracking fungi
462,Native Hawaiian woman with coral DNA clips studying reefs
463,Two women - Aztec and Celtic - comparing star algorithms
464,Inuit mother teaching daughter ice sheet sonar mapping
465,African girl with neural network beads modeling patterns
466,Middle Eastern woman with prime number braids teaching
467,Polynesian navigator with plankton bloom tattoos guiding
468,Native American woman with barcode braids tracking
469,Bengali girl with carbon capture braid documenting
470,Sámi woman with northern light algorithms predicting
471,African girl with quantum computing beads solving
472,Inuit woman with methane crystal braids analyzing
473,Two mothers - Māori and Navajo - comparing weaving
474,Middle Eastern woman with encryption braids coding
475,Native Amazonian girl with genome braids tagging
476,Tibetan woman with glacial milk braids documenting
477,African woman with AI braid patterns teaching
478,Polynesian navigator with salinity tattoos charting
479,Inuit girl with microplastic braids measuring
480,Middle Eastern woman with quantum hair knots
481,Native American woman with drone braids
482,Bengali mother-daughter carbon dating
483,Sámi woman with reindeer genomics
484,African girl with satellite bead
485,Middle Eastern woman with nano
486,Inuit woman with sonar
487,Polynesian navigator
488,Native Hawaiian
489,Two women - Inca
490,Tibetan woman
491,African girl
492,Middle Eastern
493,Siberian
494,Bengali
495,Native
496,Inuit
497,Polynesian
498,Two girls
499,Middle Eastern
500,African woman
